# de venta,Fecha,Hora,Estado de la venta,Subtotal de productos,Descuento,Costo de envío,Total,Metódo de envío,Código postal,Provincia o estado,Ciudad,Cupón de decuento,Nombre del producto,Precio del producto,Cantidad del producto,SKU,Mes,Categoria,Talle,Total_linea,Diseño
1,2025-03-12,14:38,Pago Confirmado,16900.0,0.0,4901.0,21801.0,Correo Argentino - Retiro por sucursal,9400.0,Santa Cruz,RIO GALLEGOS,,"Remera ""Jeff"" (Negro) (M)",16900,1,P1265950,2025-03,Remera,M,16900.0,Remera Jeff
2,2025-03-12,20:11,Pago Confirmado,33800.0,-3380.0,3818.0,34238.0,Correo Argentino - Retiro por sucursal,1123.0,Ciudad Autónoma de Buenos Aires (CABA),CIUDAD AUTONOMA BUENOS AIRES,JEFF,"Remera ""Jeff"" (Blanco) (L)",16900,1,P1265950,2025-03,Remera,L,15210.0,Remera Jeff
2,2025-03-12,20:11,Pago Confirmado,33800.0,-3380.0,3818.0,34238.0,Correo Argentino - Retiro por sucursal,1123.0,Ciudad Autónoma de Buenos Aires (CABA),CIUDAD AUTONOMA BUENOS AIRES,JEFF,"Remera ""experimento ruso"" (Negro) (L)",16900,1,P1272608,2025-03,Remera,L,15210.0,Remera experimento ruso
3,2025-03-12,20:17,Pago Confirmado,27300.0,-2730.0,3704.0,28274.0,Correo Argentino - Retiro por sucursal,1759.0,Buenos Aires,GONZALEZ CATAN,JEFF,"Baby tee ""Jeff"" (Negro) (M)",10400,1,P1265986,2025-03,Baby Tee,M,9360.0,Baby tee Jeff
3,2025-03-12,20:17,Pago Confirmado,27300.0,-2730.0,3704.0,28274.0,Correo Argentino - Retiro por sucursal,1759.0,Buenos Aires,GONZALEZ CATAN,JEFF,"Remera ""experimento ruso"" (Negro) (XL)",16900,1,P1272608,2025-03,Remera,XL,15210.0,Remera experimento ruso
4,2025-03-13,16:16,Pago Confirmado,20800.0,-2080.0,4378.0,23098.0,Correo Argentino - Retiro por sucursal,1900.0,Buenos Aires,LA PLATA,JEFF,"Baby tee ""Experimento ruso"" (Negro) (L)",10400,1,P1272613,2025-03,Baby Tee,L,9360.0,Baby tee Experimento ruso
4,2025-03-13,16:16,Pago Confirmado,20800.0,-2080.0,4378.0,23098.0,Correo Argentino - Retiro por sucursal,1900.0,Buenos Aires,LA PLATA,JEFF,"Baby tee ""Jeff"" (Blanco) (M)",10400,1,P1265986,2025-03,Baby Tee,M,9360.0,Baby tee Jeff
5,2025-03-14,22:13,Pago Confirmado,10400.0,0.0,3704.0,14104.0,Correo Argentino - Retiro por sucursal,1824.0,Buenos Aires,LANUS ESTE,,"Baby tee ""Experimento ruso"" (Negro) (S)",10400,1,P1272613,2025-03,Baby Tee,S,10400.0,Baby tee Experimento ruso
6,2025-03-17,00:23,Pago Confirmado,10400.0,0.0,6742.0,17142.0,Correo Argentino - Envío a domicilio,1900.0,Buenos Aires,La Plata,,"Baby tee ""Jeff"" (Negro) (S)",10400,1,P1265986,2025-03,Baby Tee,S,10400.0,Baby tee Jeff
9,2025-03-19,11:33,Pago Confirmado,20400.0,-2040.0,4378.0,22738.0,Correo Argentino - Retiro por sucursal,5003.0,Córdoba,CORDOBA,JEFF,"Remera ""Jeff"" (Negro) (L)",20400,1,P1265950,2025-03,Remera,L,18360.0,Remera Jeff
10,2025-03-20,19:43,Pago Confirmado,22100.0,0.0,6090.0,28190.0,Correo Argentino - Envío a domicilio,1419.0,Ciudad Autónoma de Buenos Aires (CABA),Villa Devoto,,"Baby tee ""Experimento ruso"" (Negro)",11200,1,P1272613,2025-03,Baby Tee,,11200.0,Baby tee Experimento ruso
10,2025-03-20,19:43,Pago Confirmado,22100.0,0.0,6090.0,28190.0,Correo Argentino - Envío a domicilio,1419.0,Ciudad Autónoma de Buenos Aires (CABA),Villa Devoto,,"Baby tee ""Jeff"" (Negro) (Unico)",10900,1,P1265986,2025-03,Baby Tee,,10900.0,Baby tee Jeff
11,2025-03-20,21:42,Pago Confirmado,11200.0,0.0,6090.0,17290.0,Correo Argentino - Envío a domicilio,1179.0,Ciudad Autónoma de Buenos Aires (CABA),Barracas,,"Baby tee ""Experimento ruso"" (Negro)",11200,1,P1272613,2025-03,Baby Tee,,11200.0,Baby tee Experimento ruso
13,2025-03-21,19:55,Pago Confirmado,21300.0,0.0,4378.0,25678.0,Correo Argentino - Retiro por sucursal,2257.0,Santa Fe,COLONIA BELGRANO,,Baby tee Sonic (Negro) (Unico),10400,1,P1312742,2025-03,Baby Tee,,10400.0,Baby tee Sonic
13,2025-03-21,19:55,Pago Confirmado,21300.0,0.0,4378.0,25678.0,Correo Argentino - Retiro por sucursal,2257.0,Santa Fe,COLONIA BELGRANO,,"Baby tee ""Jeff"" (Negro) (Unico)",10900,1,P1265986,2025-03,Baby Tee,,10900.0,Baby tee Jeff
14,2025-03-21,22:33,Pago Confirmado,10000.0,0.0,3704.0,13704.0,Correo Argentino - Retiro por sucursal,1424.0,Ciudad Autónoma de Buenos Aires (CABA),CIUDAD AUTONOMA BUENOS AIRES,,Baby tee Dream (Blanco) (Unico),10000,1,P1312756,2025-03,Baby Tee,,10000.0,Baby tee Dream
15,2025-03-21,22:41,Pago Confirmado,11200.0,0.0,3704.0,14904.0,Correo Argentino - Retiro por sucursal,1646.0,Buenos Aires,SAN FERNANDO,,"Baby tee ""Experimento ruso"" (Negro)",11200,1,P1272613,2025-03,Baby Tee,,11200.0,Baby tee Experimento ruso
17,2025-03-24,20:54,Pago Confirmado,20400.0,0.0,3704.0,24104.0,Correo Argentino - Retiro por sucursal,1613.0,Buenos Aires,LOS POLVORINES,,Remera Sonic (Negro) (L),20400,1,P1312706,2025-03,Remera,L,20400.0,Remera Sonic
18,2025-03-28,14:56,Pago Confirmado,10900.0,0.0,6742.0,17642.0,Correo Argentino - Envío a domicilio,5009.0,Córdoba,córdoba ,,Baby tee KAOMOJI (Blanco) (S),10900,1,P1342583,2025-03,Baby Tee,S,10900.0,Baby tee KAOMOJI
21,2025-03-30,11:54,Pago Confirmado,32200.0,0.0,4378.0,36578.0,Correo Argentino - Retiro por sucursal,5014.0,Córdoba,CORDOBA,,Baby tee MIKU (Negro) (Unico),10900,1,P1342576,2025-03,Baby Tee,,10900.0,Baby tee MIKU
21,2025-03-30,11:54,Pago Confirmado,32200.0,0.0,4378.0,36578.0,Correo Argentino - Retiro por sucursal,5014.0,Córdoba,CORDOBA,,Baby tee Sonic (Negro) (Unico),10400,1,P1312742,2025-03,Baby Tee,,10400.0,Baby tee Sonic
21,2025-03-30,11:54,Pago Confirmado,32200.0,0.0,4378.0,36578.0,Correo Argentino - Retiro por sucursal,5014.0,Córdoba,CORDOBA,,"Baby tee ""Jeff"" (Negro) (Unico)",10900,1,P1265986,2025-03,Baby Tee,,10900.0,Baby tee Jeff
22,2025-04-01,17:36,Pago Confirmado,20400.0,0.0,6090.0,26490.0,Correo Argentino - Envío a domicilio,1186.0,Ciudad Autónoma de Buenos Aires (CABA),almagro,,"Remera ""Jeff"" (Negro) (M)",20400,1,P1265950,2025-04,Remera,M,20400.0,Remera Jeff
23,2025-04-01,21:06,Pago Confirmado,10900.0,0.0,,10900.0,Entrega personal ,1653.0,Buenos Aires,Villa ballester,,Baby tee MIKU (Negro) (Unico),10900,1,P1342576,2025-04,Baby Tee,,10900.0,Baby tee MIKU
24,2025-04-04,16:44,Pago Confirmado,10900.0,0.0,,10900.0,Entrega personal ,1722.0,Buenos Aires,Merlo,,"Baby tee ""Jeff"" (Negro) (Unico)",10900,1,P1265986,2025-04,Baby Tee,,10900.0,Baby tee Jeff
25,2025-04-05,14:24,Pago Confirmado,10400.0,0.0,4901.0,15301.0,Correo Argentino - Retiro por sucursal,9103.0,Chubut,RAWSON,,Baby tee Sonic (Negro) (Unico),10400,1,P1312742,2025-04,Baby Tee,,10400.0,Baby tee Sonic
26,2025-04-11,10:49,Pago Confirmado,69900.0,-6990.0,5215.0,68125.0,Correo Argentino - Retiro por sucursal,5300.0,La Rioja,LA RIOJA,VESPER10,"Baby tee ""Experimento ruso"" (Negro) (XS)",11200,1,P1272613,2025-04,Baby Tee,XS,10080.0,Baby tee Experimento ruso
26,2025-04-11,10:49,Pago Confirmado,69900.0,-6990.0,5215.0,68125.0,Correo Argentino - Retiro por sucursal,5300.0,La Rioja,LA RIOJA,VESPER10,Baby tee KAFKA (Blanco) (Unico),10900,1,P1342570,2025-04,Baby Tee,,9810.0,Baby tee KAFKA
26,2025-04-11,10:49,Pago Confirmado,69900.0,-6990.0,5215.0,68125.0,Correo Argentino - Retiro por sucursal,5300.0,La Rioja,LA RIOJA,VESPER10,Baby tee MIKU (Negro) (XS),10900,1,P1342576,2025-04,Baby Tee,XS,9810.0,Baby tee MIKU
26,2025-04-11,10:49,Pago Confirmado,69900.0,-6990.0,5215.0,68125.0,Correo Argentino - Retiro por sucursal,5300.0,La Rioja,LA RIOJA,VESPER10,"Baby tee ""Jeff"" (Negro) (XS)",10900,1,P1265986,2025-04,Baby Tee,XS,9810.0,Baby tee Jeff
26,2025-04-11,10:49,Pago Confirmado,69900.0,-6990.0,5215.0,68125.0,Correo Argentino - Retiro por sucursal,5300.0,La Rioja,LA RIOJA,VESPER10,"Remera manga larga ""sonic"" (XL)",26000,1,P1395640,2025-04,Remera,XL,23400.0,Remera manga larga sonic
28,2025-04-11,22:17,Pago Confirmado,20500.0,-2050.0,4378.0,22828.0,Correo Argentino - Retiro por sucursal,1900.0,Buenos Aires,LA PLATA,VESPER10,Remera Dream (M),20500,1,P1312679,2025-04,Remera,M,18450.0,Remera Dream
32,2025-04-13,22:25,Pago Confirmado,10900.0,0.0,,10900.0,Entrega personal ,1249.0,Ciudad Autónoma de Buenos Aires (CABA),caba,,Baby tee KAOMOJI (Negro) (Unico),10900,1,P1342583,2025-04,Baby Tee,,10900.0,Baby tee KAOMOJI
33,2025-04-16,14:09,Pago Confirmado,11200.0,0.0,3704.0,14904.0,Correo Argentino - Retiro por sucursal,1884.0,Buenos Aires,BERAZATEGUI,,"Baby tee ""Experimento ruso"" (Negro) (Unico)",11200,1,P1272613,2025-04,Baby Tee,,11200.0,Baby tee Experimento ruso
36,2025-04-17,22:28,Pago Confirmado,26000.0,0.0,3704.0,29704.0,Correo Argentino - Retiro por sucursal,1431.0,Ciudad Autónoma de Buenos Aires (CABA),CIUDAD AUTONOMA BUENOS AIRES,,"Remera manga larga ""sonic"" (S)",26000,1,P1395640,2025-04,Remera,S,26000.0,Remera manga larga sonic
37,2025-04-19,23:42,Pago Confirmado,26000.0,0.0,,26000.0,Entrega personal ,5300.0,La Rioja,La Rioja,,"Remera manga larga ""sonic"" (L)",26000,1,P1395640,2025-04,Remera,L,26000.0,Remera manga larga sonic
38,2025-04-20,20:40,Pago Confirmado,10900.0,0.0,3704.0,14604.0,Correo Argentino - Retiro por sucursal,1708.0,Buenos Aires,MORON,,"Baby tee ""Jeff"" (Blanco) (S)",10900,1,P1265986,2025-04,Baby Tee,S,10900.0,Baby tee Jeff
40,2025-04-22,15:01,Pago Confirmado,10900.0,0.0,3704.0,14604.0,Correo Argentino - Retiro por sucursal,1842.0,Buenos Aires,MONTE GRANDE,,"Baby tee ""Jeff"" (Negro) (Unico)",10900,1,P1265986,2025-04,Baby Tee,,10900.0,Baby tee Jeff
43,2025-04-28,13:02,Pago Confirmado,20400.0,0.0,3704.0,24104.0,Correo Argentino - Retiro por sucursal,1644.0,Buenos Aires,VICTORIA,,Remera BOB (Negro) (M),20400,1,P1342563,2025-04,Remera,M,20400.0,Remera BOB
44,2025-04-28,21:28,Pago Confirmado,10900.0,0.0,3704.0,14604.0,Correo Argentino - Retiro por sucursal,1876.0,Buenos Aires,BERNAL,,Baby tee KAFKA (Blanco) (S),10900,1,P1342570,2025-04,Baby Tee,S,10900.0,Baby tee KAFKA
45,2025-04-28,22:38,Pago Confirmado,11200.0,0.0,6090.0,17290.0,Correo Argentino - Envío a domicilio,1716.0,Buenos Aires,Libertad,,"Baby tee ""Experimento ruso"" (Negro) (Unico)",11200,1,P1272613,2025-04,Baby Tee,,11200.0,Baby tee Experimento ruso
46,2025-05-01,17:59,Pago Confirmado,50900.0,0.0,3704.0,54604.0,Correo Argentino - Retiro por sucursal,1686.0,Buenos Aires,HURLINGHAM,,"Remera manga larga ""sonic"" (S)",26000,1,P1395640,2025-05,Remera,S,26000.0,Remera manga larga sonic
46,2025-05-01,17:59,Pago Confirmado,50900.0,0.0,3704.0,54604.0,Correo Argentino - Retiro por sucursal,1686.0,Buenos Aires,HURLINGHAM,,Baby tee Dream (Blanco) (S),10000,1,P1312756,2025-05,Baby Tee,S,10000.0,Baby tee Dream
46,2025-05-01,17:59,Pago Confirmado,50900.0,0.0,3704.0,54604.0,Correo Argentino - Retiro por sucursal,1686.0,Buenos Aires,HURLINGHAM,," Tote Bag ""Jeff""",14900,1,P1266004,2025-05,Tote Bag,,14900.0,Tote Bag Jeff
47,2025-05-07,21:39,Pago Confirmado,32500.0,0.0,4378.0,36878.0,Correo Argentino - Retiro por sucursal,2919.0,Santa Fe,VILLA CONSTITUCION,,"Baby tee ""Jeff"" (Negro) (Unico)",10900,1,P1265986,2025-05,Baby Tee,,10900.0,Baby tee Jeff
47,2025-05-07,21:39,Pago Confirmado,32500.0,0.0,4378.0,36878.0,Correo Argentino - Retiro por sucursal,2919.0,Santa Fe,VILLA CONSTITUCION,,"Baby tee ""Experimento ruso"" (Negro) (Unico)",11200,1,P1272613,2025-05,Baby Tee,,11200.0,Baby tee Experimento ruso
47,2025-05-07,21:39,Pago Confirmado,32500.0,0.0,4378.0,36878.0,Correo Argentino - Retiro por sucursal,2919.0,Santa Fe,VILLA CONSTITUCION,,Baby tee Sonic (Blanco) (Unico),10400,1,P1312742,2025-05,Baby Tee,,10400.0,Baby tee Sonic
48,2025-05-08,15:28,Pago Confirmado,35000.0,0.0,7204.0,42204.0,Correo Argentino - Envío a domicilio,1614.0,Buenos Aires,Villa de mayo,,"Buzo ""Por Cesárea"" ⛧ Dillom pixel edition (XXL)",35000,1,P1540687,2025-05,Buzo/Hoodie,XXL,35000.0,Buzo Por Cesárea Dillom pixel edition
50,2025-05-10,13:19,Pago Confirmado,21200.0,0.0,7335.0,28535.0,Correo Argentino - Envío a domicilio,8332.0,Río Negro,General Roca,,Baby tee Dream (Blanco) (Unico),10000,1,P1312756,2025-05,Baby Tee,,10000.0,Baby tee Dream
50,2025-05-10,13:19,Pago Confirmado,21200.0,0.0,7335.0,28535.0,Correo Argentino - Envío a domicilio,8332.0,Río Negro,General Roca,,"Baby tee ""Experimento ruso"" (Negro) (Unico)",11200,1,P1272613,2025-05,Baby Tee,,11200.0,Baby tee Experimento ruso
51,2025-05-14,19:42,Pago Confirmado,35000.0,0.0,4091.0,39091.0,Correo Argentino - Retiro por sucursal,1629.0,Buenos Aires,PILAR,,"Buzo ""Por Cesárea"" ⛧ Dillom pixel edition (L)",35000,1,P1540687,2025-05,Buzo/Hoodie,L,35000.0,Buzo Por Cesárea Dillom pixel edition
52,2025-05-14,21:35,Pago Confirmado,10400.0,0.0,6090.0,16490.0,Correo Argentino - Envío a domicilio,1682.0,Buenos Aires,martin coronado,,Baby tee Sonic (Negro) (Unico),10400,1,P1312742,2025-05,Baby Tee,,10400.0,Baby tee Sonic
53,2025-05-15,11:50,Pago Confirmado,20400.0,0.0,4798.0,25198.0,Correo Argentino - Retiro por sucursal,3360.0,Misiones,OBERA,,Remera Sonic (Negro) (XL),20400,1,P1312706,2025-05,Remera,XL,20400.0,Remera Sonic
54,2025-06-05,09:50,Pago Confirmado,24000.0,0.0,6742.0,30742.0,Correo Argentino - Envío a domicilio,2000.0,Santa Fe,rosario,,"Remera ""Jeff"" (M)",24000,1,P1265950,2025-06,Remera,M,24000.0,Remera Jeff
55,2025-06-05,14:04,Pago Confirmado,27000.0,0.0,7335.0,34335.0,Correo Argentino - Envío a domicilio,5700.0,San Luis,San Luis,,"Baby tee ""Jeff"" (1)",14000,1,P1265986,2025-06,Baby Tee,,14000.0,Baby tee Jeff
55,2025-06-05,14:04,Pago Confirmado,27000.0,0.0,7335.0,34335.0,Correo Argentino - Envío a domicilio,5700.0,San Luis,San Luis,,Baby tee Sonic (1),13000,1,P1312742,2025-06,Baby Tee,,13000.0,Baby tee Sonic
56,2025-06-06,19:29,Pago Confirmado,30000.0,0.0,4378.0,34378.0,Correo Argentino - Retiro por sucursal,1900.0,Buenos Aires,LA PLATA,,"Remera manga larga ""sonic"" (L)",30000,1,P1395640,2025-06,Remera,L,30000.0,Remera manga larga sonic
58,2025-06-08,19:37,Pago Confirmado,40000.0,0.0,4091.0,44091.0,Correo Argentino - Retiro por sucursal,1759.0,Buenos Aires,GONZALEZ CATAN,,"Buzo ""Por Cesárea"" ⛧ Dillom pixel edition (M)",40000,1,P1540687,2025-06,Buzo/Hoodie,M,40000.0,Buzo Por Cesárea Dillom pixel edition
59,2025-06-15,06:34,Pago Confirmado,10900.0,0.0,4378.0,15278.0,Correo Argentino - Retiro por sucursal,3200.0,Entre Ríos,CONCORDIA,,Baby tee KAOMOJI (2),10900,1,P1342583,2025-06,Baby Tee,,10900.0,Baby tee KAOMOJI
60,2025-06-18,10:53,Pago Confirmado,11900.0,-1190.0,3704.0,14414.0,Correo Argentino - Retiro por sucursal,1678.0,Buenos Aires,CASEROS,CREEPYBABY,Baby tee MIKU (2),11900,1,P1342576,2025-06,Baby Tee,,10710.0,Baby tee MIKU
63,2025-06-20,19:59,Pago Confirmado,28700.0,0.0,6742.0,35442.0,Correo Argentino - Envío a domicilio,5152.0,Córdoba,cordoba argentina,,"Remera manga larga ""sonic"" (XL)",28700,1,P1395640,2025-06,Remera,XL,28700.0,Remera manga larga sonic
64,2025-06-21,19:52,Pago Confirmado,14000.0,0.0,4378.0,18378.0,Correo Argentino - Retiro por sucursal,5000.0,Córdoba,CORDOBA,," Tote Bag ""Jeff""",14000,1,P1266004,2025-06,Tote Bag,,14000.0,Tote Bag Jeff
65,2025-06-23,14:52,Pago Confirmado,13000.0,0.0,4798.0,17798.0,Correo Argentino - Retiro por sucursal,8332.0,Río Negro,GENERAL ROCA,,Baby tee personalizada (3),13000,1,P1825108,2025-06,Baby Tee,,13000.0,Baby tee personalizada
66,2025-06-25,12:25,Pago Confirmado,26000.0,0.0,4798.0,30798.0,Correo Argentino - Retiro por sucursal,8303.0,Río Negro,CINCO SALTOS,,Baby tee personalizada (4),13000,1,P1825108,2025-06,Baby Tee,,13000.0,Baby tee personalizada
66,2025-06-25,12:25,Pago Confirmado,26000.0,0.0,4798.0,30798.0,Correo Argentino - Retiro por sucursal,8303.0,Río Negro,CINCO SALTOS,,Baby tee personalizada (3),13000,1,P1825108,2025-06,Baby Tee,,13000.0,Baby tee personalizada
67,2025-06-25,23:26,Pago Confirmado,11900.0,0.0,3704.0,15604.0,Correo Argentino - Retiro por sucursal,1761.0,Buenos Aires,PONTEVEDRA,,Baby tee MIKU (1),11900,1,P1342576,2025-06,Baby Tee,,11900.0,Baby tee MIKU
68,2025-06-30,20:23,Pago Confirmado,28700.0,0.0,6090.0,34790.0,Correo Argentino - Envío a domicilio,1884.0,Buenos Aires,Berazategui ,,"Remera manga larga ""sonic"" (M)",28700,1,P1395640,2025-06,Remera,M,28700.0,Remera manga larga sonic
69,2025-07-01,10:13,Pago Confirmado,24700.0,0.0,3630.0,28330.0,Correo Argentino - Retiro por sucursal,1824.0,Buenos Aires,LANUS ESTE,,Baby tee KAFKA (1),12300,1,P1342570,2025-07,Baby Tee,,12300.0,Baby tee KAFKA
69,2025-07-01,10:13,Pago Confirmado,24700.0,0.0,3630.0,28330.0,Correo Argentino - Retiro por sucursal,1824.0,Buenos Aires,LANUS ESTE,,"Baby tee ""Jeff"" (1)",12400,1,P1265986,2025-07,Baby Tee,,12400.0,Baby tee Jeff
